n_notes,total_duration,note_density,n_instruments,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,dur_mean,dur_std,vel_mean,vel_std,tempo,polyphony_mean,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,filename,composer
147,22.5,6.533333333333333,4,61.16326530612245,7.950562224013593,41,77,36,0.5612244897959183,0.21078103610752755,96.0,0.0,168.0,3.9565217391304346,0.24489795918367346,0.006802721088435374,0.06802721088435375,0.0,0.10884353741496598,0.23129251700680273,0.0,0.10884353741496598,0.0,0.14965986394557823,0.06802721088435375,0.013605442176870748,029000b_.mid,bach
657,67.89467800000001,9.676752572565405,7,61.61796042617961,8.475150180013117,41,77,36,0.6885358127853882,0.4175230071261389,96.0,0.0,137.7501193834367,4.544049459041731,0.2146118721461187,0.0,0.0974124809741248,0.0,0.0700152207001522,0.2374429223744292,0.0,0.1171993911719939,0.0,0.1704718417047184,0.0776255707762557,0.015220700152207,Bwv001.6.mid,bach
354,47.5,7.4526315789473685,4,59.070621468926554,7.703773098473204,38,76,38,0.5155367231638418,0.17855067625296825,96.0,0.0,168.0,3.9671772428884027,0.11016949152542373,0.03389830508474576,0.16666666666666666,0.0,0.17231638418079095,0.09322033898305085,0.005649717514124294,0.11016949152542373,0.01694915254237288,0.18926553672316385,0.011299435028248588,0.0903954802259887,028000b_.mid,bach
347,38.4,9.036458333333334,5,64.32276657060518,10.112030975232909,42,88,46,0.5273775216138329,0.3005034850199434,96.0,0.0,194.11764705882365,4.841530054644808,0.1037463976945245,0.005763688760806916,0.1844380403458213,0.008645533141210375,0.11527377521613832,0.01440922190201729,0.09221902017291066,0.16714697406340057,0.002881844380403458,0.13256484149855907,0.0,0.1729106628242075,009507b_.mid,bach
531,62.995000000000005,8.429240415906024,2,66.15065913370998,12.711631998991466,38,84,46,0.24693973634651578,0.19642713590656907,100.0,0.0,189.61937716262975,2.082627118644068,0.1487758945386064,0.0,0.15819209039548024,0.04331450094161959,0.0018832391713747645,0.03954802259887006,0.03389830508474576,0.19962335216572505,0.003766478342749529,0.1431261770244821,0.22033898305084745,0.007532956685499058,12 Polonaise.mid,bach
510,81.6,6.25,4,57.498039215686276,7.215111869720371,38,76,38,0.5605882352941176,0.4482215915768775,95.0,0.0,198.4905660377359,3.4938725490196076,0.11960784313725491,0.025490196078431372,0.13529411764705881,0.013725490196078431,0.14901960784313725,0.12156862745098039,0.027450980392156862,0.09803921568627451,0.029411764705882353,0.1568627450980392,0.041176470588235294,0.08235294117647059,109100b_.mid,bach
576,48.914284,11.775701347279252,8,58.661458333333336,7.648187009999857,42,75,33,1.0049292799479161,0.6156630657557454,76.81597222222223,8.372044778726769,118.11023622047242,3.920668058455115,0.11979166666666667,0.0,0.1875,0.08333333333333333,0.005208333333333333,0.09895833333333333,0.052083333333333336,0.17708333333333334,0.010416666666666666,0.09895833333333333,0.15104166666666666,0.015625,6.Herzliebster Jesu Chorus.mid,bach
1246,114.9,10.84421235857267,2,64.37720706260032,8.704010656547476,38,86,48,0.15621990369181382,0.09623967600668631,100.0,0.0,197.3684210526316,1.7210526315789474,0.07704654895666131,0.04333868378812199,0.14285714285714285,0.025682182985553772,0.12680577849117175,0.016051364365971106,0.13162118780096307,0.15890850722311398,0.004815409309791332,0.13162118780096307,0.004815409309791332,0.13643659711075443,Variation 20.mid,bach
359,52.5,6.838095238095238,4,63.52924791086351,8.365841626495133,41,81,40,0.584958217270195,0.37030848719888854,96.0,0.0,192.0,3.940952380952381,0.1309192200557103,0.005571030640668524,0.15877437325905291,0.08913649025069638,0.036211699164345405,0.12256267409470752,0.033426183844011144,0.16434540389972144,0.011142061281337047,0.12256267409470752,0.10306406685236769,0.022284122562674095,022902b_.mid,bach
807,69.82753500000001,11.557045512203745,8,62.287484510532835,9.752151835339966,38,83,45,0.5159591140024785,0.3092611405952148,96.0,0.0,198.85728868582123,4.539244186046512,0.008674101610904586,0.07434944237918216,0.1734820322180917,0.006195786864931847,0.1412639405204461,0.0024783147459727386,0.1536555142503098,0.10285006195786865,0.028500619578686492,0.20817843866171004,0.008674101610904586,0.09169764560099132,Bwv029.8.mid,bach
1294,115.85000000000001,11.169615882606818,2,64.26738794435857,10.276452419045478,38,86,48,0.1714064914992272,0.07594479705005001,100.0,0.0,199.476439790576,1.9032815198618307,0.09273570324574962,0.04173106646058733,0.14064914992272023,0.02009273570324575,0.1375579598145286,0.012364760432766615,0.12364760432766615,0.13601236476043277,0.0061823802163833074,0.1561051004636785,0.0030911901081916537,0.12982998454404945,Variation 08.mid,bach
1492,160.31898745,9.306446003255367,2,63.55898123324397,10.170523619988385,37,84,47,0.2449773555406614,0.27157292538376865,100.07238605898124,1.396131745559302,283.82985972545487,2.435374149659864,0.07640750670241286,0.05361930294906166,0.15281501340482573,0.01876675603217158,0.12734584450402145,0.10053619302949061,0.022788203753351208,0.1380697050938338,0.021447721179624665,0.15147453083109919,0.08042895442359249,0.05630026809651475,Bwv0811 English Suite n6 2mov.mid,bach
1967,252.390951,7.7934648298860765,5,54.746314184036606,11.562838877054064,24,79,55,0.5658023510421962,0.5625748008729047,96.0,0.0,180.7721829056175,4.338485929449068,0.15404168784951702,0.042704626334519574,0.08744280630401627,0.13472292831723437,0.013726487036095577,0.1387900355871886,0.006100660904931368,0.13218098627351296,0.12201321809862735,0.021352313167259787,0.13980681240467718,0.0071174377224199285,065400b_.mid,bach
524,49.99995,10.480010480010481,6,63.43320610687023,11.238281616436936,40,86,46,0.5398031679389312,0.4409573956942638,96.0,0.0,168.00016800016803,4.7698744769874475,0.13549618320610687,0.019083969465648856,0.13549618320610687,0.0,0.1736641221374046,0.11450381679389313,0.009541984732824428,0.1049618320610687,0.02480916030534351,0.15648854961832062,0.007633587786259542,0.1183206106870229,016106b_.mid,bach
167,22.5,7.4222222222222225,4,60.97604790419162,6.914319166095772,45,74,29,0.4940119760479042,0.19444877526968293,96.0,0.0,174.0,3.927536231884058,0.0,0.11377245508982035,0.0658682634730539,0.04790419161676647,0.17365269461077845,0.005988023952095809,0.1377245508982036,0.0,0.11976047904191617,0.17964071856287425,0.005988023952095809,0.1497005988023952,Bwv003.6.mid,bach
